ID_Licenca,Software,Versao,Fabricante,Tipo_Licenca,Quantidade_Adquirida,Quantidade_Utilizada,Chave_Serial,Data_Compra,Data_Validade,Valor_Unitario,Valor_Total,Fornecedor,Nota_Fiscal,Observacoes
LIC-0001,Microsoft Office 365,2020,Microsoft,Perpétua,50,52,XXXXX-45270,2023-06-01,,100,5000,Ingram Micro,NF-13402,
LIC-0002,Microsoft Windows 11 Pro,2023,Microsoft,Subscrição,10,8,YYYYY-54011,2024-09-05,2027-09-05,500,5000,Licença Direta,NF-13335,
LIC-0003,Microsoft Windows 11 Pro,2020,Microsoft,Perpétua,20,19,XXXXX-77939,2023-08-15,,50,1000,Microsoft Store,NF-75778,
LIC-0004,Microsoft Windows 11 Pro,2022,Microsoft,OEM,100,50,XXXXX-19033,2024-04-23,,1000,100000,Licença Direta,NF-65256,
LIC-0005,Adobe Creative Cloud,2.2,Adobe,OEM,50,15,ZZZZZ-97176,2023-06-15,,50,2500,Synnex,NF-48144,
LIC-0006,Adobe Creative Cloud,2.4,Adobe,Volume,100,50,ZZZZZ-10231,2025-03-09,2027-03-09,50,5000,Synnex,NF-70134,
LIC-0007,AutoCAD,1.0,Autodesk,Perpétua,50,52,ZZZZZ-63419,2023-05-11,,100,5000,Synnex,NF-43212,
LIC-0008,AutoCAD,4.2,Autodesk,OEM,20,10,YYYYY-30105,2023-06-02,,500,10000,Ingram Micro,NF-54527,
LIC-0009,Kaspersky Endpoint Security,4.4,Kaspersky,Volume,5,1,YYYYY-88969,2023-02-23,2025-02-22,200,1000,TechData,NF-17135,
LIC-0010,Kaspersky Endpoint Security,3.1,Kaspersky,Subscrição,10,10,XXXXX-86310,2025-05-24,2026-05-24,1000,10000,Licença Direta,NF-68378,
LIC-0011,Kaspersky Endpoint Security,2.3,Kaspersky,OEM,100,50,YYYYY-58953,2025-02-03,,50,5000,Licença Direta,NF-93886,
LIC-0012,Zoom Pro,2.7,Zoom,OEM,5,5,ZZZZZ-34645,2025-09-17,,5000,25000,Microsoft Store,NF-63664,
LIC-0013,Zoom Pro,4.9,Zoom,Subscrição,10,8,ZZZZZ-81037,2023-09-28,2025-09-27,50,500,Microsoft Store,NF-89974,
LIC-0014,Microsoft Project,4.1,Microsoft,Subscrição,10,10,XXXXX-35651,2023-05-04,2025-05-03,500,5000,Licença Direta,NF-62060,
LIC-0015,Microsoft Project,3.0,Microsoft,OEM,10,5,ZZZZZ-51011,2024-10-23,,500,5000,Licença Direta,NF-47397,
LIC-0016,Microsoft Project,2.9,Microsoft,Perpétua,100,30,XXXXX-19895,2023-12-09,,50,5000,Microsoft Store,NF-46911,
LIC-0017,Microsoft Visio,2.2,Microsoft,OEM,20,10,ZZZZZ-15356,2023-03-18,,2000,40000,Ingram Micro,NF-31618,
LIC-0018,Microsoft Visio,4.3,Microsoft,Subscrição,20,10,XXXXX-80121,2023-01-30,2025-01-29,5000,100000,Microsoft Store,NF-30281,
LIC-0019,Slack Business,5.4,Slack,Perpétua,10,9,ZZZZZ-85990,2023-07-24,,50,500,Ingram Micro,NF-52181,
LIC-0020,Jira Software,4.4,Atlassian,Perpétua,20,19,XXXXX-78499,2023-04-12,,500,10000,TechData,NF-10288,
LIC-0021,Confluence,3.4,Atlassian,OEM,100,105,XXXXX-47900,2025-05-25,,5000,500000,Ingram Micro,NF-92440,
LIC-0022,Confluence,2.4,Atlassian,OEM,50,15,YYYYY-51693,2024-06-19,,50,2500,TechData,NF-27491,
LIC-0023,Confluence,2.7,Atlassian,Subscrição,20,21,YYYYY-32808,2025-07-24,2028-07-23,1000,20000,Microsoft Store,NF-15508,
LIC-0024,VMware vSphere,1.3,VMware,Volume,100,50,ZZZZZ-34477,2023-02-07,2026-02-06,500,50000,Synnex,NF-75161,
LIC-0025,VMware vSphere,4.0,VMware,OEM,10,8,YYYYY-36836,2024-06-22,,2000,20000,Licença Direta,NF-86339,
LIC-0026,VMware vSphere,1.4,VMware,OEM,50,15,YYYYY-37654,2024-09-29,,500,25000,Synnex,NF-30439,
LIC-0027,SQL Server Standard,2.6,Microsoft,Subscrição,50,25,YYYYY-55159,2024-02-12,2025-02-11,50,2500,Microsoft Store,NF-68796,
LIC-0028,Oracle Database,3.1,Oracle,Volume,100,105,YYYYY-11347,2024-10-02,2026-10-02,50,5000,Licença Direta,NF-97411,
LIC-0029,SAP ERP,1.7,SAP,OEM,50,35,YYYYY-31810,2025-04-28,,2000,100000,Synnex,NF-83109,
