ID_Manutencao,ID_Ativo,Tipo_Ativo,Data_Manutencao,Tipo_Manutencao,Problema_Relatado,Solucao_Aplicada,Tecnico_Responsavel,Custo,Status,Tempo_Parada_Horas,Observacoes
MAN-0001,HW-0009,Tablet,2025-12-25,Upgrade,Vírus/Malware,Sistema operacional instalado e configurado,Maria Santos,1010,Em Andamento,8,
MAN-0002,HW-0033,Smartphone,2025-01-03,Corretiva,Perda de dados,Reinstalação do sistema operacional,Pedro Costa,1102,Em Andamento,20,
MAN-0003,HW-0027,Tablet,2024-12-15,Preventiva,Manutenção preventiva programada,Troca de tela,Pedro Costa,179,Em Andamento,1,
MAN-0004,HW-0005,Tablet,2024-08-03,Upgrade,Falha de hardware não especificada,Atualização aplicada com sucesso,João Silva,944,Concluída,3,
MAN-0005,HW-0048,Notebook,2024-11-03,Corretiva,Problema de rede,Substituição de bateria,Carlos Souza,983,Aguardando Peças,45,
MAN-0006,HW-0009,Smartphone,2024-04-27,Preventiva,Problema de rede,Substituição de bateria,Carlos Souza,102,Em Andamento,3,
MAN-0007,HW-0044,Tablet,2024-03-11,Preventiva,Tela com defeito,Recuperação de dados do backup,João Silva,62,Em Andamento,3,
MAN-0008,HW-0025,Servidor,2024-07-03,Preventiva,Problema de rede,Recuperação de dados do backup,Pedro Costa,60,Concluída,1,
MAN-0009,HW-0049,Smartphone,2025-08-29,Instalação,Upgrade de memória,Troca de tela,Maria Santos,402,Concluída,2,
MAN-0010,HW-0031,Servidor,2024-04-15,Corretiva,Bateria não carrega,Upgrade de RAM instalado,João Silva,960,Em Andamento,29,
MAN-0011,HW-0049,Desktop,2025-10-15,Upgrade,Falha de hardware não especificada,Substituição de bateria,Ana Oliveira,1860,Concluída,7,
MAN-0012,HW-0009,Notebook,2024-11-23,Instalação,Tela com defeito,Configuração de rede ajustada,Pedro Costa,210,Concluída,5,
MAN-0013,HW-0043,Notebook,2024-05-13,Upgrade,Sistema não inicia,Recuperação de dados do backup,Carlos Souza,1107,Em Andamento,8,
MAN-0014,HW-0039,Servidor,2024-04-27,Upgrade,Instalação de novo SO,Configuração de rede ajustada,João Silva,744,Aguardando Peças,7,
MAN-0015,HW-0011,Tablet,2025-11-09,Upgrade,Tela com defeito,Substituição de bateria,João Silva,1821,Concluída,2,
MAN-0016,HW-0008,Smartphone,2024-04-15,Upgrade,Instalação de novo SO,Substituição de disco rígido,João Silva,1825,Concluída,6,
MAN-0017,HW-0034,Notebook,2025-02-10,Preventiva,Bateria não carrega,Limpeza do sistema e otimização,Pedro Costa,159,Em Andamento,4,
MAN-0018,HW-0021,Tablet,2024-10-19,Preventiva,Perda de dados,Limpeza interna e troca de pasta térmica,Pedro Costa,142,Em Andamento,1,
MAN-0019,HW-0040,Tablet,2024-08-12,Corretiva,Upgrade de memória,Troca de tela,Maria Santos,755,Em Andamento,46,
MAN-0020,HW-0005,Smartphone,2025-01-31,Instalação,Falha no disco rígido,Troca de tela,Ana Oliveira,117,Aguardando Peças,2,
MAN-0021,HW-0042,Notebook,2025-05-25,Instalação,Sistema não inicia,Limpeza interna e troca de pasta térmica,Ana Oliveira,261,Aguardando Peças,3,
MAN-0022,HW-0005,Desktop,2025-06-15,Corretiva,Falha de memória RAM,Revisão geral realizada,João Silva,306,Em Andamento,10,
MAN-0023,HW-0005,Servidor,2025-11-14,Instalação,Lentidão no sistema,Configuração de rede ajustada,Maria Santos,373,Concluída,6,
MAN-0024,HW-0018,Smartphone,2025-04-20,Upgrade,Problema de rede,Limpeza interna e troca de pasta térmica,Ana Oliveira,746,Concluída,5,
MAN-0025,HW-0013,Notebook,2025-04-24,Instalação,Vírus/Malware,Reinstalação do sistema operacional,João Silva,426,Concluída,3,
MAN-0026,HW-0012,Servidor,2024-06-09,Preventiva,Bateria não carrega,Reinstalação do sistema operacional,João Silva,136,Concluída,2,
MAN-0027,HW-0039,Tablet,2025-11-11,Corretiva,Perda de dados,Sistema operacional instalado e configurado,João Silva,661,Concluída,22,
MAN-0028,HW-0026,Servidor,2024-12-09,Instalação,Lentidão no sistema,Troca de tela,Maria Santos,100,Concluída,2,
MAN-0029,HW-0042,Desktop,2025-09-13,Preventiva,Sistema não inicia,Remoção de malware e instalação de antivírus,João Silva,125,Aguardando Peças,3,
MAN-0030,HW-0034,Tablet,2024-10-04,Preventiva,Falha de memória RAM,Upgrade de RAM instalado,Carlos Souza,180,Concluída,3,
MAN-0031,HW-0036,Desktop,2025-07-22,Preventiva,Atualização de software,Limpeza do sistema e otimização,Maria Santos,192,Concluída,4,
MAN-0032,HW-0001,Desktop,2025-12-15,Instalação,Vírus/Malware,Recuperação de dados do backup,João Silva,140,Concluída,2,
MAN-0033,HW-0002,Smartphone,2025-07-20,Upgrade,Sistema não inicia,Revisão geral realizada,João Silva,1994,Em Andamento,2,
MAN-0034,HW-0007,Notebook,2025-09-05,Corretiva,Instalação de novo SO,Atualização aplicada com sucesso,Maria Santos,1362,Em Andamento,18,
MAN-0035,HW-0041,Desktop,2025-01-10,Upgrade,Falha no disco rígido,Limpeza interna e troca de pasta térmica,Carlos Souza,1992,Aguardando Peças,6,
MAN-0036,HW-0021,Notebook,2025-03-20,Corretiva,Perda de dados,Revisão geral realizada,Pedro Costa,1400,Concluída,7,
MAN-0037,HW-0013,Servidor,2025-04-10,Upgrade,Upgrade de memória,Substituição de bateria,João Silva,1791,Aguardando Peças,6,
MAN-0038,HW-0001,Tablet,2024-09-22,Corretiva,Falha de memória RAM,Upgrade de RAM instalado,Pedro Costa,656,Concluída,12,
MAN-0039,HW-0043,Smartphone,2025-06-02,Instalação,Falha de memória RAM,Atualização aplicada com sucesso,Pedro Costa,231,Concluída,2,
MAN-0040,HW-0029,Desktop,2025-08-07,Upgrade,Instalação de novo SO,Remoção de malware e instalação de antivírus,Carlos Souza,1922,Concluída,5,
