Software,Versao,Fabricante,Computador,Data_Instalacao
Visual Studio Code,1.73,Microsoft,COMP-001,2023-06-16
Kaspersky Endpoint Security,11.6,Kaspersky,COMP-001,2023-01-09
Google Chrome,110.0,Google,COMP-001,2023-11-19
Zoom,5.13,Zoom Video Communications,COMP-001,2023-03-06
Python 3.10,3.10.8,Python Software Foundation,COMP-001,2023-11-21
Adobe Acrobat Reader,2021.007,Adobe,COMP-001,2023-06-09
Microsoft Office 365,2021,Microsoft,COMP-001,2023-03-06
LibreOffice,7.4,The Document Foundation,COMP-001,2023-05-05
Microsoft Teams,1.5.00,Microsoft,COMP-001,2023-10-07
Mozilla Firefox,109.0,Mozilla,COMP-001,2023-06-16
7-Zip,21.07,Igor Pavlov,COMP-001,2023-10-12
FileZilla,3.62,FileZilla Project,COMP-001,2023-12-01
Git,2.39,Git Community,COMP-001,2023-12-06
VLC Media Player,3.0.18,VideoLAN,COMP-001,2023-04-16
Adobe Acrobat Reader,2022.003,Adobe,COMP-002,2023-05-28
LibreOffice,7.3,The Document Foundation,COMP-002,2023-12-08
WinRAR,6.02,RARLAB,COMP-002,2023-06-21
Microsoft Edge,109.0,Microsoft,COMP-002,2023-02-27
Notepad++,8.4.7,Don Ho,COMP-002,2023-12-28
VLC Media Player,3.0.18,VideoLAN,COMP-002,2023-11-03
7-Zip,21.07,Igor Pavlov,COMP-002,2023-01-13
Windows Defender,4.17,Microsoft,COMP-002,2023-08-06
Git,2.39,Git Community,COMP-002,2023-07-15
Visual Studio Code,1.73,Microsoft,COMP-002,2023-07-08
Microsoft Office 365,2019,Microsoft,COMP-002,2023-08-04
Zoom,5.12,Zoom Video Communications,COMP-002,2023-06-23
Google Chrome,109.0,Google,COMP-002,2023-10-20
Mozilla Firefox,109.0,Mozilla,COMP-002,2023-06-05
Python 3.10,3.10.8,Python Software Foundation,COMP-002,2023-09-08
Microsoft Teams,1.5.00,Microsoft,COMP-002,2023-10-28
PuTTY,0.77,Simon Tatham,COMP-002,2023-10-08
FileZilla,3.62,FileZilla Project,COMP-002,2023-07-23
Microsoft Office 365,2021,Microsoft,COMP-003,2023-06-23
LibreOffice,7.3,The Document Foundation,COMP-003,2023-09-22
Windows Defender,4.17,Microsoft,COMP-003,2023-12-02
Microsoft Edge,108.0,Microsoft,COMP-003,2023-03-17
Zoom,5.13,Zoom Video Communications,COMP-003,2023-11-20
7-Zip,22.01,Igor Pavlov,COMP-003,2023-09-09
