ID_Ativo,Tipo,Marca,Modelo,Numero_Serie,Processador,RAM_GB,Armazenamento_GB,Tipo_Armazenamento,Sistema_Operacional,Versao_SO,Data_Aquisicao,Valor_Aquisicao,Garantia_Inicio,Garantia_Fim,Localizacao,Departamento,Usuario,Status,Observacoes
HW-0001,Desktop,Lenovo,ThinkSystem SR650,LEN825186,Intel Core i3-10100,32,256,NVMe,Windows 11 Pro,10.0,2025-05-10,3510,2025-05-10,2030-05-09,Data Center,Operações,usuario62,Ativo,
HW-0002,Smartphone,Motorola,Moto G,MOT914377,Qualcomm Snapdragon,8,128,NVMe,Android,22.04,2022-01-27,1983,2022-01-27,2023-01-27,Matriz - 2º Andar,Financeiro,usuario52,Ativo,
HW-0003,Smartphone,Samsung,Galaxy S22,SAM135609,Qualcomm Snapdragon,8,256,NVMe,Android,22.04,2021-04-10,2162,2021-04-10,2024-04-09,Filial SP,Financeiro,usuario92,Ativo,
HW-0004,Smartphone,Xiaomi,Redmi Note,XIA125278,Qualcomm Snapdragon,4,256,SSD,Android,22.04,2022-10-16,2196,2022-10-16,2023-10-16,Filial RJ,Marketing,usuario28,Ativo,
HW-0005,Smartphone,Motorola,Moto G,MOT429866,Qualcomm Snapdragon,8,128,SSD,Android,22.04,2021-07-19,3252,2021-07-19,2022-07-19,Filial SP,TI,usuario99,Ativo,
HW-0006,Notebook,Asus,ZenBook,ASU757369,Intel Core i3-10100,8,256,SSD,Windows 10 Pro,10.0,2025-03-28,4874,2025-03-28,2030-03-27,Home Office,Marketing,usuario70,Ativo,
HW-0007,Notebook,HP,ProLiant DL380,HP609225,Apple M2,32,512,HDD,Windows 10 Pro,10.0,2022-10-06,11442,2022-10-06,2027-10-05,Matriz - 2º Andar,Comercial,usuario79,Ativo,
HW-0008,Desktop,HP,ProLiant DL380,HP137858,AMD Ryzen 5 5600,32,512,NVMe,Windows 10 Pro,10.0,2021-05-06,4448,2021-05-06,2022-05-06,Matriz - 2º Andar,Operações,usuario14,Ativo,
HW-0009,Tablet,Microsoft,Surface Pro 8,MIC774739,Qualcomm Snapdragon,8,256,HDD,Android,22.04,2024-05-02,2336,2024-05-02,2027-05-02,Filial SP,Marketing,usuario85,Ativo,
HW-0010,Desktop,HP,ProBook 450,HP210600,Intel Xeon Gold 6226R,8,512,SSD,Windows 11 Pro,10.0,2023-12-26,5979,2023-12-26,2026-12-25,Matriz - 2º Andar,Comercial,usuario31,Ativo,
HW-0011,Servidor,IBM,System x3650,IBM379042,Intel Xeon Gold 6226R,64,1000,NVMe,Windows Server 2019,10.0,2025-03-24,18669,2025-03-24,2030-03-23,Matriz - 1º Andar,Marketing,usuario40,Ativo,
HW-0012,Smartphone,Samsung,Galaxy S22,SAM941973,Qualcomm Snapdragon,4,256,HDD,Android,22.04,2022-12-15,1572,2022-12-15,2027-12-14,Filial SP,Financeiro,usuario29,Ativo,
HW-0013,Servidor,HP,ProLiant DL380,HP577316,Intel Xeon Gold 6226R,32,2000,NVMe,Windows Server 2022,10.0,2024-08-26,20270,2024-08-26,2029-08-25,Filial RJ,Operações,usuario11,Ativo,
HW-0014,Desktop,Lenovo,ThinkPad T14,LEN563794,AMD Ryzen 5 5600,16,256,SSD,Windows 11 Pro,10.0,2023-12-08,4186,2023-12-08,2028-12-06,Filial RJ,TI,usuario32,Ativo,
HW-0015,Servidor,Dell,Latitude 5420,DEL505654,Intel Xeon Gold 6226R,128,2000,NVMe,Windows Server 2019,10.0,2022-08-13,19572,2022-08-13,2027-08-12,Matriz - 1º Andar,Financeiro,usuario62,Ativo,
HW-0016,Smartphone,Xiaomi,Redmi Note,XIA312477,Qualcomm Snapdragon,4,128,NVMe,Android,22.04,2022-09-20,1535,2022-09-20,2025-09-19,Filial RJ,Diretoria,usuario18,Ativo,
HW-0017,Tablet,Samsung,Galaxy S22,SAM975895,Qualcomm Snapdragon,4,256,NVMe,Android,22.04,2021-10-29,3965,2021-10-29,2022-10-29,Filial SP,TI,usuario27,Ativo,
HW-0018,Servidor,Lenovo,ThinkPad T14,LEN829203,Intel Xeon Gold 6226R,64,2000,HDD,Windows Server 2022,10.0,2023-09-17,29463,2023-09-17,2026-09-16,Data Center,Operações,usuario54,Ativo,
